D, [2017-07-23T22:01:09.170075 #7320] DEBUG -- : MONGODB | Topology type 'unknown' initializing.
D, [2017-07-23T22:01:09.170575 #7320] DEBUG -- : MONGODB | Server 127.0.0.1:27017 initializing.
D, [2017-07-23T22:01:09.185077 #7320] DEBUG -- : MONGODB | Topology type 'unknown' changed to type 'single'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | Server description for 127.0.0.1:27017 changed from 'unknown' to 'standalone'.
D, [2017-07-23T22:01:09.185577 #7320] DEBUG -- : MONGODB | There was a change in the members of the 'single' topology.
D, [2017-07-23T22:01:53.910093 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (2 Week Turmoil (JRE094))", "query"=>{}}
D, [2017-07-23T22:01:53.921594 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011501s
D, [2017-07-23T22:01:53.922095 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (2 Week Turmoil HC (JRE095))"}
D, [2017-07-23T22:01:53.933095 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.010501s
D, [2017-07-23T22:01:58.280025 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (2 Week Turmoil HC (JRE095))", "documents"=>[{"equipment"=>{"items"=>[], "character"=>{"name"=>"FreeqTwoWeek", "league"=>"2 Week Turmoil HC (JRE095)", "classId"=>3, "ascendancyClass"=>2, "class"=>"Elementalist", "level"=>100}}, ...
D, [2017-07-23T22:01:58.303438 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.023413s
D, [2017-07-23T22:01:58.305401 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (2 Week Turmoil HC (JRE095))", "query"=>{}}
D, [2017-07-23T22:01:58.305900 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.000499s
D, [2017-07-23T22:01:58.306901 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | STARTED | {"drop"=>"characters (2 Week Turmoil HC Solo (JRE096))"}
D, [2017-07-23T22:01:58.317959 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.drop | SUCCEEDED | 0.011058s
D, [2017-07-23T22:02:02.272061 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | STARTED | {"insert"=>"characters (2 Week Turmoil HC Solo (JRE096))", "documents"=>[{"equipment"=>{"items"=>[], "character"=>{"name"=>"Ethereal_KINO", "league"=>"2 Week Turmoil HC Solo (JRE096)", "classId"=>2, "ascendancyClass"=>3, "class"=>"Pathfinder", "level"...
D, [2017-07-23T22:02:02.295217 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.insert | SUCCEEDED | 0.022656s
D, [2017-07-23T22:02:02.297216 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | STARTED | {"count"=>"characters (2 Week Turmoil HC Solo (JRE096))", "query"=>{}}
D, [2017-07-23T22:02:02.308790 #7320] DEBUG -- : MONGODB | 127.0.0.1:27017 | exileinfo.count | SUCCEEDED | 0.011073s
